"species","site","Photosynthesis","annual.Perennial","height","rootdiam","SRL","RTD","rootN","SLA","LDMC","LTD","leafarea","TLP","leafN","intrinsicLDGRcon","intrinsicLDGRchr","invasionLDGRcon","invasionLDGRchr","weight","effectN","effectND","weight2","grassland_type","grass.forb","lifespan"
"Tragopogondubius","SGS","C3","Biennial",38.908,0.434975,22.84106,0.3711031,1.137,173.150804,0.197718638,0.3306402,9.15,-1.074377472,3.029,0.414129237481774,0.0505930132844936,0.413222150750914,1.05124222569911,0.652801678552947,-0.00420946133965506,5.56405800903246,1.53185880621,"Northern Shortgrass","Other","Short-lived"
"Vulpiaoctoflora","SGS","C3","Annual",7.264,0.12178,484.0989444,0.243376475,1.18,192.4544519,0.382109717,0.7305598,0.1421,-1.804843108,1.775555556,2.45182883729686,2.34065635811629,2.79803947886544,3.13013858425317,1.5455433551897,1.65019495460555,2.15102163497038,0.647021642351313,"Northern Shortgrass","Grass","Short-lived"
"Chamaesycelata","SBU","C4","Perennial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638837186464778,2.55874806550316,0.313776507800694,0.435446998392449,0.614781786559321,-1.1025152945494,-2.12330106711071,1.62659340576204,"Southern Shortgrass","Other","Perennial"
"Chamaesyceserrula","SBU","C4","Annual",NA,NA,NA,NA,NA,200.318309,0.29294965,NA,NA,NA,1.5738,0.328113246299976,0.334853032681159,1.24012978161158,0.467950544225396,0.873505748077517,5.28708282632955,1.6450741122985,1.14481215744817,"Southern Shortgrass","Other","Short-lived"
"Cryptanthacrassisepala","SBU","C3","Annual",NA,NA,NA,NA,NA,177.568032,0.1474635,NA,NA,NA,1.3902,0.365952733745059,0.591326861932258,0.245867884462695,0.559999555648754,0.590991326073949,-0.721239484468525,-0.0732474548158934,1.69207221135234,"Southern Shortgrass","Other","Short-lived"
"Euphorbiaexstipulata","SBU","C3","Perennial",NA,NA,NA,NA,NA,214.6976351,0.1639677,NA,NA,NA,2.4043,0.901071653658968,0.0622871884208219,1.11123187076931,0.0799451125622037,0.758180109862461,0.99457616938138,0.259959830821487,1.31894781595023,"Southern Shortgrass","Other","Perennial"
"Hoffmannseggiadrepanocarpa","SBU","C3","Perennial",NA,NA,NA,NA,NA,157.2577,0.34375,NA,NA,NA,2.0165,0.0791057764645973,0.440821547037616,0.0709519012512648,0.158264128739263,0.278059818775702,-0.0382971780868291,-0.472351085565061,3.59634845625305,"Southern Shortgrass","Other","Perennial"
"Kallstroemiaparviflora","SBU","C4","Annual",NA,NA,35.12971,NA,NA,255.3065862,0.1840491,NA,NA,NA,1.6903,2.92999570744344,NA,3.36960823105557,NA,0.0799421623693338,10.2645764435146,NA,12.5090436680958,"Southern Shortgrass","Other","Short-lived"
"Muhlenbergiaarenicola","SBU","C4","Perennial",NA,NA,NA,NA,NA,144.308259,NA,NA,NA,NA,2.062,-0.0652870757935022,-7.21644966006352e-16,0.0529125936582889,1.11022302462516e-16,0.261628618885668,0.48687069092354,6.82787160144471e-15,3.82221182170059,"Southern Shortgrass","Grass","Perennial"
"Phaceliacrenulata","SBU","C3","Annual",NA,NA,NA,NA,NA,174.0738454,0.1261692,NA,NA,NA,2.4692,0.166521514665704,1.84602800554228,0.17345059521485,1.48007417727186,0.591150145526679,0.0456910399819191,-0.716225905117958,1.69161761621332,"Southern Shortgrass","Other","Short-lived"
"Plantagopatagonica","SBU","C3","Annual",11.88675,0.168471429,24.58387,NA,1.25,110.755,0.231891593,NA,1.421875,-0.69552658,1.8764,0.147310747291214,0.368625826166451,0.199720167213447,0.268633728997944,0.373406557214302,0.273216241725757,-0.0999920971685075,2.67804616892705,"Southern Shortgrass","Other","Short-lived"
"Sphaeralceapolychroma","SBU","C3","Perennial",NA,NA,NA,NA,NA,119.6743415,NA,NA,NA,NA,4.3008,0.184270771405749,0.202405605654689,0.0514273220327383,0.0911237333390744,0.291666463047968,-0.537876779217888,-0.120705785736354,3.42857382213168,"Southern Shortgrass","Other","Perennial"
"Sporobolussp.","SBU","C4","Perennial",NA,NA,NA,NA,NA,101.7955765,NA,NA,NA,NA,1.2816,0.443254650020566,0.0886505842871034,0.236892242591976,-0.0496153840894005,0.520265203081247,-1.11570396635032,-0.381216867700369,1.92209664239996,"Southern Shortgrass","Grass","Perennial"
"Aristidaadscensionis","SBK","C4","Annual",29.33333,NA,162.48222,NA,NA,265.2631,0.352607,NA,NA,NA,NA,0.169557399849996,2.42036812865052,0.176876083687359,1.21018406432529,0.433135738690885,0.0945705807216001,-306.570995668302,2.30874506689846,"Desert","Grass","Short-lived"
"Boutelouaeriopoda","SBK","C4","Perennial",60.96,NA,NA,NA,NA,165.7349725,0.358500582,NA,NA,-2.6979008,2.11225,0.167803520955778,0.950718185172133,0.289063645558108,0.331609141291501,0.515330174526483,0.379422493441379,-1.3152859825885,1.94050348578727,"Desert","Grass","Perennial"
"Boutelouagracilis","SBK","C4","Perennial",34.5,0.183741667,123.04093,0.3752851,0.56,110.4342855,0.41375,0.412646057,1.09699,-2.517091661,1.3646,1.02680554208777,0.362768761954108,0.951711671704926,0.565505577280658,0.597756056803183,-0.0750938703828396,0.20273681532655,1.67292324120985,"Desert","Grass","Perennial"
"Chamaesycealbomarginata","SBK","C4","Perennial",NA,NA,NA,NA,NA,126.4952309,NA,NA,1.2973,NA,NA,0.309519445592262,1.53658933420542,0.769329731426234,0.674631908188601,0.884580057797298,1.75847406655807,-3.48650793436707,1.13047992794469,"Desert","Grass","Perennial"
"Chamaesyceserpyllifolia","SBK","C4","Annual",1.527778,NA,NA,NA,NA,199.2828272,NA,NA,NA,NA,1.6056,1.08811310201005,0.705123602934977,0.883162207217657,1.68401510589965,1.18801570447196,-0.690211788922958,3.58648825817315,0.841739714581019,"Desert","Other","Short-lived"
"Dasyochloapulchella","SBK","C4","Perennial",NA,NA,NA,NA,NA,165.6899912,0.440023543,NA,NA,-4.6562288,1.055,0.0562475697349009,-0.1969625717573,0.133478387471285,0.210425427194822,0.433849810102439,0.700556959816753,1.34792551341919,2.30494511398745,"Desert","Grass","Perennial"
"Echinomastusintertextus","SBK","CAM","Perennial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0849801999624212,0.00772542326985007,0.0725373513898346,0.0519183408397093,0.251043088574178,-0.0592482168789091,0.172145074912733,3.98337992764346,"Desert","Other","Perennial"
"Gauracoccinea","SBK","C3","Perennial",NA,NA,73.07968,NA,NA,149.3403465,0.2637897,NA,NA,NA,2.5336,0.156457675243476,0.402981533679071,0.128660978292535,0.188166378541234,0.372707572377844,-0.281523248171936,-1.08663084940121,2.68306864177747,"Desert","Other","Perennial"
"Lepidiumdensiflorum","SBK","C3","Annual",32,0.15235,NA,0.40364305,1.421,223.95658,0.1758455,0.46227389,2.4471636,-0.839135831,3.707,1.13307598867892,0.266575460824762,0.430826534513484,0.100304037258398,0.507436423768309,-6.27502210360084,-0.616389361513028,1.97069022474546,"Desert","Other","Short-lived"
"Oenotheracaespitosa","SBK","C3","Perennial",15.24,NA,21.5562,NA,NA,297.9888,0.1205563,NA,NA,NA,NA,0,0,0,0,0,0,0,Inf,"Desert","Other","Perennial"
"Plantagopatagonica","SBK","C3","Annual",11.88675,0.168471429,24.58387,NA,1.25,183.5855,0.221869643,NA,1.421875,-0.69552658,1.8764,0.667257785418711,1.60694638338805,0.581152979190233,1.34411448568755,0.570505454559276,-0.572172560990974,-1.04921091559696,1.75283161976517,"Desert","Other","Short-lived"
"Salsolatragus","SBK","C4","Annual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0858122201062713,1.24411744929121,-0.0555802036454681,0.859276632156337,0.752379161502407,0.284410582650443,-1.26238605579149,1.32911708772359,"Desert","Other","Short-lived"
"Sporobolussp.","SBK","C4","Perennial",NA,NA,NA,NA,NA,159.6265199,NA,NA,NA,NA,2.402,0.754394750451069,-0.291781398529065,0.40985473706726,0.453626721835373,0.751077484285459,-1.74551932363447,2.10381807170599,1.3314205537014,"Desert","Grass","Perennial"
